version:,1.2,fluorescence lines K series,,,,fluorescence lines L series,,,,,,,,,,,,fluorescence lines M series,,,,"yields, from Hubbell et al, 1994, table 8",,,,,absolute yields for subshells,,,,,,,,,,,,,,,,,,,,,,electron binding energies,,,,,,,,,,,,,,,,,,,,,,,,jump factors,,,,,,,,,,,,,,,,
aprrox intensity,-,100%,50%,15%,5%,100%,10%,50%,20%,6%,4%,10%,1%,3%,<1%,3%,1%,,,,,"note, erratum Hubbell et al 2004",,,,,100%,50%,15%,5%,100%,10%,50%,20%,6%,4%,10%,1%,3%,<1%,3%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transition,-,K-L3,K-L2,"K-M2,M3","K-N2,3",L3-M5,L3-M4,L2-M4,L3-N5,L1-M3,L1-M2,L2-N4,L1-N2,L1-N3,L1-O3,L3-M1,L2-M1,M5-N7,M5-N6,M4-N6,M3-N5,assume W_l1=l2=l3,,,,,K-L3,K-L2,"K-M2,3","K-N2,3",L3-M5,L3-M4,L2-M4,L3-N5,L1-M3,L1-M2,L2-N4,L1-N2,L1-N3,L1-O3,L3-M1,L2-M1,M5-N7,M5-N6,M4-N6,M3-N5,,,K,L-I,L-II,L-III,M-I,M-II,M-III,M-IV,M-V,N-I,N-II,N-III,N-IV,N-V,N-VI,N-VII,O-I,O-II,O-III,O-IV,O-V,P-I,P-II,P-III,,,,,,,,,,,,,,,,,
Z,Symbol,Ka1,Ka2,"Kb1,3",Kb2,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Lg4,Ll,Ln,Ma1,Ma2,Mb,Mg,w_K,W_L1,w_L2,w_L3,w_M,Ka1,Ka2,Kb1+3,Kb2,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Lg4,Ll,Ln,Ma1,Ma2,Mb,Mg,density g/cc,atomic mass [g/mol],1s,2s,2p1/2,2p3/2,3s,3p1/2,3p3/2,3d3/2,3d5/2,4s,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s,5p1/2,5p3/2,5d3/2,5d5/2,6s,6p1/2,6p3/2,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,O1,O2,O3
8,O,0.52295,0.52295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579,0,0,0,0,0.0039,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00133,16,0.5431,0.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,F,0.67724,0.67724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0,0,0,0,0.0060,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,19,0.6967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ne,0.84831,0.84831,0.85741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134,0,0,0,0,0.0089,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00084,20.18,0.8702,0.0485,0.0217,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Na,1.0411,1.0411,1.0672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021332385,0.000216714,0.000216714,0.000216714,0,0.0142,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.97,22.99,1.0708,0.0635,0.0304,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mg,1.2537,1.2537,1.2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029108403,0.000303939,0.000303939,0.000303939,0,0.0194,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.741,24.31,1.303,0.0886,0.0496,0.04921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13,Al,1.4869,1.4865,1.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038724724,0.000414879,0.000414879,0.000414879,0,0.0256,0.0128,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7,26.98,1.559,0.1178,0.0729,0.0725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95,1.08901,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
14,Si,1.74,1.739,1.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050373344,0.000553396,0.000553396,0.000553396,0,0.0331,0.0166,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3,28.09,1.839,0.1497,0.0998,0.0992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,1.09471,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
15,P,2.013,2.012,2.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064216777,0.000723627,0.000723627,0.000723627,0,0.0420,0.0210,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.82,30.97,2.1455,0.189,0.136,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.969,1.09965,1,6.19,1,1,1,0,0,0,0,0,0,0,0,0,0
16,S,2.307,2.306,2.464,0,0,0,0,0,0,0,0,0,0,0,0.14866,0.14866,0,0,0,0,0.080376951,0.00092998,0.00092998,0.00092998,0,0.0519,0.0259,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.07,32.06,2.472,0.2309,0.1636,0.1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.613,1.10397,1.4,5.546,1,1,1,0,0,0,0,0,0,0,0,0,0
17,Cl,2.622,2.62,2.815,0,0,0,0,0,0,0,0,0,0,0,0.18276,0.18436,0,0,0,0,0.098924885,0.001177131,0.001177131,0.001177131,0,0.0634,0.0317,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.56,35.45,2.822,0.27,0.202,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.309,1.10778,1.4,4.646,1,1,1,0,0,0,0,0,0,0,0,0,0
